Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-20 00:00:00+05:30,3340.2762918565977,3387.809301586168,3334.1291014568424,3383.017333984375,1481211,0.0,0.0
2023-10-23 00:00:00+05:30,3362.1554480986288,3367.915500142522,3292.743878429488,3301.311279296875,1106272,0.0,0.0
2023-10-25 00:00:00+05:30,3282.2885062131595,3315.6874012033836,3269.412942903728,3281.9013671875,1518537,0.0,0.0
2023-10-26 00:00:00+05:30,3260.5547327173776,3266.024311719838,3223.719096373483,3230.253662109375,1984471,0.0,0.0
2023-10-27 00:00:00+05:30,3243.0810999766786,3254.698106901968,3230.496009140948,3244.000732421875,1108851,0.0,0.0
2023-10-30 00:00:00+05:30,3243.081127555282,3274.8827788231424,3227.349763876842,3270.719970703125,910972,0.0,0.0
2023-10-31 00:00:00+05:30,3290.516957908163,3290.516957908163,3243.1293014151265,3261.232421875,999811,0.0,0.0
2023-11-01 00:00:00+05:30,3247.921570944344,3263.9918586515023,3205.3258782106473,3224.3486328125,1563475,0.0,0.0
2023-11-02 00:00:00+05:30,3236.4981265982724,3268.2028751009575,3236.4981265982724,3252.85888671875,1245384,0.0,0.0
2023-11-03 00:00:00+05:30,3274.0596513617274,3279.771251660559,3237.562936698764,3243.9521484375,1402598,0.0,0.0
2023-11-06 00:00:00+05:30,3267.2832819953683,3284.0311813476164,3251.793939028872,3272.36572265625,1099852,0.0,0.0
2023-11-07 00:00:00+05:30,3270.187254185203,3295.502552392047,3258.5702479536394,3262.878173828125,1191144,0.0,0.0
2023-11-08 00:00:00+05:30,3263.846281913898,3293.372839638349,3262.007017119683,3273.6240234375,992899,0.0,0.0
2023-11-09 00:00:00+05:30,3281.9012235690516,3283.2564464481657,3235.3847463268016,3240.6123046875,2112352,0.0,0.0
2023-11-10 00:00:00+05:30,3231.4639108451115,3240.612256013225,3216.3134930404144,3227.05908203125,1338557,0.0,0.0
2023-11-13 00:00:00+05:30,3248.8895748352875,3248.8895748352875,3220.8151416796786,3225.219970703125,1030990,0.0,0.0
2023-11-15 00:00:00+05:30,3275.1248611686806,3304.070476339917,3248.938143408188,3295.648193359375,2059802,0.0,0.0
2023-11-16 00:00:00+05:30,3320.5760265054296,3416.706799198424,3305.2318030842307,3386.212158203125,3951984,0.0,0.0
2023-11-17 00:00:00+05:30,3386.2124830565526,3412.0118253580167,3381.0815909366665,3390.66552734375,2021292,0.0,0.0
2023-11-20 00:00:00+05:30,3379.822794289124,3421.1114765993602,3379.822794289124,3407.26806640625,1475621,0.0,0.0
2023-11-21 00:00:00+05:30,3407.2680989787914,3426.0972830667097,3389.261644374976,3398.16796875,1807236,0.0,0.0
2023-11-22 00:00:00+05:30,3388.2938088981537,3419.9016551759987,3369.9971168695515,3417.4814453125,1798051,0.0,0.0
2023-11-23 00:00:00+05:30,3417.3358521821333,3430.8890255335637,3388.293337857639,3396.280029296875,2729804,0.0,0.0
2023-11-24 00:00:00+05:30,3382.7271617366096,3392.698473159121,3342.7937009305324,3346.762939453125,1989733,0.0,0.0
2023-11-28 00:00:00+05:30,3346.762934458918,3370.142066029236,3323.432018004558,3359.396240234375,1689195,0.0,0.0
2023-11-29 00:00:00+05:30,3369.8999892303673,3405.719092821727,3364.8660003196806,3401.604736328125,1441634,0.0,0.0
2023-11-30 00:00:00+05:30,3387.7612033454247,3404.412199385531,3369.9001024136155,3376.28955078125,3266235,0.0,0.0
2023-12-01 00:00:00+05:30,3388.2934509700485,3404.702424841456,3378.661064000581,3399.571533203125,1172141,0.0,0.0
2023-12-04 00:00:00+05:30,3431.5184452042645,3434.568051248314,3386.3574265508537,3400.34619140625,1625213,0.0,0.0
2023-12-05 00:00:00+05:30,3425.080651849091,3425.080651849091,3391.004147692838,3418.885009765625,1377656,0.0,0.0
2023-12-06 00:00:00+05:30,3419.853050706303,3497.541778479725,3412.640637055317,3489.071044921875,1896572,0.0,0.0
